Time,Temperature,Alpha
0,92.5413,0.000542455
0.027407222,97.4746,0.014597
0.054803889,102.406,0.0321117
0.082181667,107.334,0.0565469
0.096870556,109.978,0.0878038
0.115770556,113.38,0.122554
0.130398333,116.013,0.174572
0.145048333,118.65,0.21967
0.155426111,120.518,0.282036
0.159520556,121.255,0.327051
0.165709444,122.369,0.375543
0.206942778,129.791,0.718433
0.227765,133.539,0.818943
0.242398333,136.173,0.870961
0.257076111,138.815,0.905679
0.271776111,141.461,0.933475
0.294937222,145.63,0.954417
0.315992778,149.42,0.975343
0.341298333,153.975,0.985921
0.379259444,160.808,1.00006
0.387709444,162.329,1.00012
0,103.944,-0.00242461
0.027391667,113.805,0.0360651
0.046355556,120.632,0.0640426
0.055805556,124.034,0.0987926
0.068397222,128.567,0.150893
0.079911111,132.712,0.220278
0.08825,135.714,0.293074
0.098516667,139.41,0.49393
0.112,144.264,0.660234
0.121338889,147.626,0.771109
0.136977778,153.256,0.906303
0.150661111,158.182,0.934198
0.1791,168.42,0.979625
0.191741667,172.971,0.997123
0.210744444,179.812,0.997419
0.223408333,184.371,1.00108
0.230786111,187.027,1.00811
0,112.682,0.00487388
0.010020833,119.897,0.0155668
0.021081944,127.861,0.0470539
0.034223611,137.323,0.123589
0.040531944,141.865,0.158389
0.043644444,144.106,0.234612
0.053038889,150.87,0.380237
0.058202778,154.588,0.53957
0.064405556,159.054,0.719699
0.069619444,162.808,0.809828
0.074301389,166.179,0.903402
0.083244444,172.618,0.945204
0.092723611,179.443,0.976642
0.1069625,189.695,0.994386
0.112240278,193.495,0.994551
0.118575,198.056,0.994748
0,125.981,0.00890942
0.005542361,133.962,0.00925462
0.010025,140.417,0.0199147
0.014235417,146.48,0.0547798
0.018970833,153.299,0.0965981
0.022893056,158.947,0.197191
0.026288889,163.837,0.29429
0.028882639,167.572,0.419022
0.031209028,170.922,0.554118
0.034061806,175.03,0.692707
0.036398611,178.395,0.800122
0.040320833,184.043,0.900714
0.044263194,189.72,0.945943
0.047415278,194.259,0.987663
0.051638194,200.34,0.987926
0.055854167,206.411,1.00549
0.059286806,211.354,1.00224
