Time,Temperature,Alpha
0.082181667,107.334,0.0565469
0.096870556,109.978,0.0878038
0.115770556,113.38,0.122554
0.130398333,116.013,0.174572
0.145048333,118.65,0.21967
0.155426111,120.518,0.282036
0.159520556,121.255,0.327051
0.165709444,122.369,0.375543
0.206942778,129.791,0.718433
0.227765,133.539,0.818943
0.242398333,136.173,0.870961
0.257076111,138.815,0.905679
0.271776111,141.461,0.933475
0.294937222,145.63,0.954417
0.315992778,149.42,0.975343
0.068397222,128.567,0.150893
0.079911111,132.712,0.220278
0.08825,135.714,0.293074
0.098516667,139.41,0.49393
0.112,144.264,0.660234
0.121338889,147.626,0.771109
0.136977778,153.256,0.906303
0.150661111,158.182,0.934198
0.1791,168.42,0.979625
0.191741667,172.971,0.997123
0.040531944,141.865,0.158389
0.043644444,144.106,0.234612
0.053038889,150.87,0.380237
0.058202778,154.588,0.53957
0.064405556,159.054,0.719699
0.069619444,162.808,0.809828
0.074301389,166.179,0.903402
0.083244444,172.618,0.945204
0.092723611,179.443,0.976642
0.1069625,189.695,0.994386
0.112240278,193.495,0.994551
0.118575,198.056,0.994748
